NAME,B01001_001E,B01001_001M,B05012_003E,B05012_003M,B05002_021E,B05002_021M,B16003_001E,B16003_001M,B19013_001E,B19013_001M,B05002_022E,B05002_022M,B05002_023E,B05002_023M,B05002_024E,B05002_024M,B05002_025E,B05002_025M,B05002_026E,B05002_026M,B05002_027E,B05002_027M,state,county,tract,GEOID,foreign_born_rate_e,foreign_born_rate_m,non_cit_foreign_born_rate_e,non_cit_foreign_born_rate_m,europe_origin_rate_e,europe_origin_rate_m,asia_origin_rate_e,asia_origin_rate_m,africa_origin_rate_e,africa_origin_rate_m,oceania_origin_rate_e,oceania_origin_rate_m,latam_origin_rate_e,latam_origin_rate_m,noram_origin_rate_e,noram_origin_rate_m,limited_english_rate_e,limited_english_rate_m,foreign_born_rate_cv,non_cit_foreign_born_rate_cv,europe_origin_rate_cv,asia_origin_rate_cv,africa_origin_rate_cv,oceania_origin_rate_cv,latam_origin_rate_cv,noram_origin_rate_cv,limited_english_rate_cv
"Census Tract 416.03, Morris County, New Jersey",4321.0,297.0,1803.0,262.0,675.0,207.0,428.0,197.0,89306.0,17997.0,53.0,45.0,453.0,167.0,49.0,75.0,0.0,12.0,120.0,144.0,0.0,12.0,34,27,41603,34027041603,0.4172645221013654,0.0670749955489446,0.1562138393890303,0.0490941152734475,0.0122656792409164,0.0104483249711863,0.1048368433233047,0.0393144760583975,0.0113399676000925,0.0173745853762399,0.0,0.0027771349224716,0.0277713492247165,0.0333802419165515,0.0,0.0027771349224716,0.0990511455681555,0.0460968321757509,9.77199620918832,19.104867463385503,51.78323358432797,22.79673517963137,93.14010720269548,inf,73.06789529960444,inf,28.290829166749965
"Census Tract 6089.04, Camden County, New Jersey",1420.0,121.0,21.0,19.0,0.0,12.0,0.0,12.0,112868.0,13150.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,34,7,608904,34007608904,0.0147887323943661,0.0134394924774698,0.0,0.0084507042253521,0.0,0.0084507042253521,0.0,0.0084507042253521,0.0,0.0084507042253521,0.0,0.0084507042253521,0.0,0.0084507042253521,0.0,0.0084507042253521,0.0,0.0084507042253521,55.24411439573649,inf,inf,inf,inf,inf,inf,inf,inf
"Census Tract 6011.01, Camden County, New Jersey",3273.0,380.0,618.0,268.0,367.0,215.0,542.0,305.0,36297.0,7961.0,0.0,12.0,41.0,62.0,0.0,12.0,0.0,12.0,326.0,196.0,0.0,12.0,34,7,601101,34007601101,0.1888175985334555,0.0847658331338215,0.1121295447601588,0.0669665558042742,0.0,0.0036663611365719,0.0125267338832875,0.0189986148117503,0.0,0.0036663611365719,0.0,0.0036663611365719,0.0996028108768713,0.0609902294021873,0.0,0.0036663611365719,0.1655973113351665,0.095149353604097,27.29056096703732,36.305464854673104,inf,92.1972959876327,inf,inf,37.22397688353987,inf,34.92904074139566
"Census Tract 70.02, Bergen County, New Jersey",4619.0,198.0,1706.0,204.0,497.0,157.0,248.0,127.0,165897.0,8368.0,9.0,14.0,473.0,148.0,0.0,12.0,0.0,12.0,15.0,18.0,0.0,12.0,34,3,7002,34003007002,0.3693440138558129,0.0469174760210438,0.1075990474128599,0.034301559758128,0.0019484736956051,0.0030321096997652,0.1024031175579129,0.0323408583147864,0.0,0.0025979649274734,0.0,0.0025979649274734,0.0032474561593418,0.0038994329728407,0.0,0.0025979649274734,0.0536912751677852,0.027591289458562,7.722140050713253,19.37936488509091,94.59854578328589,19.19872823097718,inf,inf,72.9948567438764,inf,31.23937788241443
"Census Tract 91, Bergen County, New Jersey",4942.0,30.0,1617.0,246.0,630.0,251.0,192.0,99.0,154500.0,17160.0,8.0,13.0,478.0,242.0,14.0,18.0,0.0,12.0,130.0,122.0,0.0,12.0,34,3,9100,34003009100,0.3271954674220963,0.0498170291089537,0.1274787535410765,0.0507950492246298,0.0016187778227438,0.0026305323163251,0.0967219749089437,0.0489715490281442,0.0028328611898017,0.0036422906973785,0.0,0.0024281667341157,0.0263051396195872,0.0246868782448693,0.0,0.0024281667341157,0.0388506677458518,0.0200337637707289,9.255601402892491,24.22242806659148,98.78488379391152,30.778877961247936,78.15979429633056,inf,57.05052713871604,inf,31.34715696395096
"Census Tract 63, Bergen County, New Jersey",8749.0,637.0,4473.0,611.0,1836.0,620.0,1568.0,567.0,72803.0,17966.0,232.0,110.0,218.0,161.0,81.0,130.0,0.0,17.0,1305.0,594.0,0.0,17.0,34,3,6300,34003006300,0.5112584295348039,0.0791376044356246,0.209852554577666,0.0724936597179339,0.0265173162647159,0.0127202388466001,0.0249171333866727,0.0184913122317676,0.0092582009372499,0.0148741228991106,0.0,0.0019430792090524,0.1491599039890273,0.06875656429668,0.0,0.0019430792090524,0.1792204823408389,0.066108014819177,9.4097159954972,21.00002744410023,29.16082425031574,45.113212324178136,97.66497898181456,inf,28.02180908274946,inf,22.423353919304777
"Census Tract 152, Bergen County, New Jersey",6753.0,630.0,2716.0,494.0,911.0,425.0,414.0,291.0,80508.0,5898.0,12.0,21.0,29.0,53.0,0.0,17.0,0.0,17.0,870.0,415.0,0.0,17.0,34,3,15200,34003015200,0.4021916185399082,0.0822140780098665,0.1349030060713756,0.0641810277938822,0.0017769880053309,0.0031141446713276,0.0042943876795498,0.0078585824535497,0.0,0.0025173996742188,0.0,0.0025173996742188,0.1288316303864949,0.0626184464600177,0.0,0.0025173996742188,0.0613060861839182,0.0434698517825739,12.426455604760902,28.921388413286248,106.53403731244076,111.24411971244376,inf,inf,29.547033430772423,inf,43.10410834878374
"Census Tract 155, Bergen County, New Jersey",6195.0,575.0,2121.0,589.0,870.0,505.0,678.0,488.0,129107.0,19875.0,0.0,17.0,373.0,195.0,0.0,17.0,0.0,17.0,497.0,478.0,0.0,17.0,34,3,15500,34003015500,0.3423728813559322,0.1002467568172087,0.1404358353510895,0.0825529217181645,0.0,0.0027441485068603,0.0602098466505246,0.0319692435975735,0.0,0.0027441485068603,0.0,0.0027441485068603,0.0802259887005649,0.0775174742661508,0.0,0.0027441485068603,0.1094430992736077,0.0794254735669952,17.79938804121495,35.734573597738134,inf,32.27742922121112,inf,inf,58.73792947090497,inf,44.1169548150322
"Census Tract 511, Bergen County, New Jersey",6245.0,357.0,1414.0,334.0,520.0,230.0,198.0,131.0,98011.0,14640.0,0.0,17.0,292.0,165.0,0.0,17.0,14.0,24.0,214.0,164.0,0.0,17.0,34,3,51100,34003051100,0.2264211369095276,0.055026751638925,0.0832666132906325,0.0371357907936384,0.0,0.0027221777421937,0.0467574059247397,0.0265559971420303,0.0,0.0027221777421937,0.0022417934347477,0.0038452106169896,0.0342674139311449,0.026333969664016,0.0,0.0027221777421937,0.0317053642914331,0.0210549369881495,14.773758893268235,27.111645254415727,inf,34.526002862967744,inf,104.26982328745164,46.71637092059774,inf,40.36967900616935
"Census Tract 421, Bergen County, New Jersey",7413.0,339.0,2006.0,394.0,604.0,320.0,236.0,247.0,119808.0,19017.0,14.0,22.0,559.0,315.0,0.0,17.0,0.0,17.0,17.0,31.0,14.0,24.0,34,3,42100,34003042100,0.2706056927020099,0.0545714914780924,0.0814784837447726,0.0433279195407378,0.0018885741265344,0.0029690157444265,0.0754080669094833,0.0426326148757155,0.0,0.0022932685822204,0.0,0.0022932685822204,0.0022932685822204,0.0041831574953959,0.0018885741265344,0.003238707386914,0.0318359638472952,0.0333516347471357,12.259224342992278,32.326523033423584,95.5680143874678,34.3683166394266,inf,inf,110.88770432101,104.24897029610896,63.68442336317476
